OWNER_ID,ID_TYPE,LICENSE_PLATE,VEHICLE_MODEL,VEHICLE_TYPE,REG_DATE,IU,MFT_YR,VEHICLE_REGISTRATION_NO,VEHICLE_COLOR
WAUBGAFB3BN849027,2,1C4RDJEG3EC824202,RX-7,Mazda,1/10/2016 5:11,1FTWW3A5XAE476360,2008,c9c70cbc-fe1c-42e4-8793-07499b77aac2,Teal
JTEBC3EH5D2525965,1,19UUA9F78DA497078,Range Rover Sport,Land Rover,11/19/2019 12:57,3VWPG3AG1AM187932,2007,49a8ac76-e4d5-41c6-bdce-99e8076c3d5c,Mauv
1D7RV1CT5BS533589,1,SCFLDCFP6EG133157,Mustang,Ford,11/22/2021 19:43,WAUJC58E63A776511,1994,b60c8723-8ee1-40a2-93b4-d058c911f5ca,Mauv
JH4CL95997C531673,3,WDDEJ7EB4DA220690,E-Series,Ford,12/5/2016 16:01,KMHFC4DF4BA812692,1994,5156ad60-3b2e-4e4b-af7b-ba9e8dbd439e,Violet
2C3CDXL9XFH610503,1,WBA3N7C51EF944549,B-Series Plus,Mazda,6/8/2016 6:04,19UYA42711A372140,2005,c41e86f3-66b8-44c5-9ff0-7051b9d6e53a,Crimson
KMHFG4JG7FA298151,3,KMHFC4DF4BA386759,Express 1500,Chevrolet,12/2/2020 20:54,SCFFDCBD9AG811001,1997,a6e71d34-3523-492a-aabe-117346f60365,Red
WAU4FAFR6CA370523,3,1G4GA5ER4DF881946,Savana,GMC,10/4/2020 17:26,1GKS1HE04ER018280,2011,3eaa770d-6bec-4dc6-9eb7-c95c53034c17,Purple
WBABV134X4J226400,3,JA32X8HW3AU187612,Elise,Lotus,1/19/2016 10:28,WBSCL93471L868755,1991,28bc8595-2d04-4903-862b-366476a29500,Puce
WBAWB33529P550590,1,19UUA9F79CA045770,Express 3500,Chevrolet,11/27/2020 22:11,1G6KF54915U393538,1992,868790f1-9967-40eb-a8b0-99a5ed49808c,Blue
WBAYB6C51FD451394,3,SCBLF34F74C982712,Sonata,Hyundai,10/5/2017 8:47,1N6AA0ED7FN272826,2012,f9375642-b020-4c8f-a99d-c81347d27726,Violet
1N6BF0KX1FN250695,3,3VW1K7AJ3CM977906,Crossfire,Chrysler,9/11/2016 10:50,3VW467AT9CM972244,2012,777416f6-ef7b-401e-84c7-18d9c22584ad,Violet
WBAUN1C55BV955184,2,3C63DRNL0CG693278,Precis,Mitsubishi,11/29/2016 9:14,KMHCT4AE1EU890574,2007,e89aa624-f374-4ac0-80e9-a11c112533d9,Goldenrod
WBANN73596B550900,3,1C4SDJCT7FC521197,Continental,Lincoln,12/21/2018 11:24,WBA5M4C59FD536758,2010,fe1ddbba-ab0d-44e0-a807-400509aa677a,Pink
SCFAD02A18G994225,3,3VW507AT3FM821796,4Runner,Toyota,8/31/2015 0:27,1G6DJ577X90802943,2011,19a6ec98-111b-45a9-9ae6-b6b0f516ae6d,Maroon
JN1CV6EK6AM804022,3,KMHHT6KD8AU750782,Pilot,Honda,6/1/2018 5:15,1HGCR6F53EA859725,2012,9a0fa5c1-44ef-40a9-b3c1-7a333d14d3d7,Turquoise
KM8NU4CC5AU021360,1,2C3CCAPG9DH880005,Rabbit,Volkswagen,2/5/2021 20:49,19XFA1F35AE410347,2003,e1ec916f-8413-4274-9991-92209a4fb338,Orange
WAUFFAFC3DN068993,3,1G4GC5EC1BF956802,1500,Ram,5/10/2015 2:53,5FNYF3H42FB597043,1982,c773c5af-0386-48e3-8d2f-79345eabb708,Purple
JN8AZ1MUXAW734869,3,JN8AZ2KRXDT646558,Cavalier,Chevrolet,7/25/2015 23:52,WBADX1C50CE573673,2001,a4a2ea9e-7735-4253-8fda-e7b047f1b238,Fuscia
WBAAV33431F130615,2,WAUFGAFB7BN960424,D350,Dodge,8/29/2017 11:23,3C3CFFHH5FT748381,2006,c2372e64-1070-491c-a013-20105f54585a,Khaki
SCFFDAAEXCG557543,3,WBAEB53529C892233,Cube,Nissan,9/6/2021 0:34,WAUSF98E66A677663,1989,76d4980c-b2b5-4027-a22b-b17f01645db3,Mauv
3D4PH9FG2BT027435,1,TRURD38J981249273,98,Oldsmobile,4/4/2020 3:38,4T1BD1FK4CU607832,1993,c95e807a-5cb6-4743-a074-db6ece6a4f18,Puce
WAUNF78P77A268382,3,WAUAF78E36A734031,500SEL,Mercedes-Benz,7/20/2016 4:59,19UUA9E57CA871632,1990,53201d98-8650-4927-94da-15f8e4803ee4,Teal
4T1BD1FK7FU817233,2,3GYFNAEY6BS606425,Safari,GMC,6/15/2020 16:09,1G6KF549X1U779658,2010,2a903cd4-6c4c-4fd3-a581-94c2057ab429,Aquamarine
WAUDT94F55N489353,2,1N6AA0CJ5DN909430,Caravan,Dodge,6/30/2018 5:52,1D7CW2GK0AS601502,2002,d8493dc0-eef1-4361-a9ca-cb8a3119c7c7,Pink
19UUA56923A851511,1,WAULL44E45N159113,Sonata,Hyundai,4/2/2020 23:10,4T3BA3BB1BU442449,1992,1da98ab9-9840-4fff-88f6-a51c4d4c4617,Indigo
5TDBW5G11BS243058,1,WBAHN03517D955000,Camaro,Chevrolet,3/11/2015 4:19,WAUDH98E37A192398,2011,9381966c-8904-4b3c-97e7-fccab8c54dd6,Goldenrod
5GAKRDKD1DJ519338,2,SCFAB05DX9G448357,Escort,Ford,12/22/2018 16:55,1N6AA0CH3FN757017,1954,0a55be8d-2889-4f9f-915e-1bb7be17c817,Aquamarine
3D7TT2CT4BG193425,3,1FTWW3B57AE288572,SL-Class,Mercedes-Benz,9/8/2015 15:47,WBA3A9C55DF977513,2009,9dcf7e99-28c1-4be7-a26d-34ae0b3d9a18,Puce
WA1WMBFEXDD921180,2,3N1BC1CP1CK053076,Grand Prix,Pontiac,7/12/2019 0:07,WBA3N5C53EF709476,2000,cdbee214-d60b-4a7e-bd3b-638e8b518017,Blue
KMHGN4JE4FU961053,1,WAUDG98E55A192354,Q,Infiniti,2/2/2021 16:58,1GD312CG5CF367391,1997,98268610-cec4-4cd9-b70f-b415b0d8b71d,Fuscia
WAUDGAFL9AA759050,2,1GYS4JEF0CR337651,SRX,Cadillac,3/5/2015 4:20,1G6DK5EY9B0260832,2007,81b5538c-2941-4f2d-bfa2-ac0fa1854d30,Puce
4T1BF1FKXFU412770,1,JTHBL1EF2D5751952,LS,Lexus,1/5/2020 21:26,3FAHP0KC7AR275412,2005,3bb18894-86bb-4027-a2b5-7eb8930d0e3c,Crimson
5GAER23D49J045859,2,3VWKP7AJ2EM698004,4Runner,Toyota,10/24/2019 21:58,3C6TD5ET0CG384466,1997,ce3ea783-38c1-4b4c-a133-a6d3341de8df,Yellow
1N6AF0KY5EN859114,3,1GD22ZCG1DZ796593,626,Mazda,6/2/2015 11:58,WAU4FAFR8DA452349,1992,ed1cfe2d-edc8-4ca0-ad3a-69bed96333a1,Red
WBADN63472G158671,1,2FMDK3KC4AB199941,DeVille,Cadillac,2/8/2018 15:45,WAUXL68E94A438540,2010,a3586e36-cfe7-4bf5-8663-6384d86bda72,Orange
WBABN33433P610753,3,JTDKDTB39E1733185,LS,Lincoln,9/7/2017 11:26,WBSBL93471J893078,1996,92c8a439-dc48-41db-9b3c-973f0379b9e4,Violet
KMHFG4JG0EA705645,1,WBA3A9G5XEN586035,Dakota,Dodge,6/15/2018 7:10,SAJWA4DC9FM003498,2002,b57e4bdd-64c2-4ece-ac95-9a7fa9b82578,Purple
WBA3G7C5XEF878707,1,5N1AR2MM6EC314336,Acadia,GMC,3/2/2020 0:47,WBA1F5C56EV643550,2009,a21fa1a1-51d3-4661-aa1d-3a35e38e41c4,Goldenrod
3C4PDCAB2DT155890,2,NM0KS9BN2DT915031,Yukon XL 1500,GMC,10/20/2021 20:05,WP1AE2A25EL181860,1994,14a981bc-7c96-43af-915e-ad8615ad7fb1,Fuscia
YV126MFJXF1648831,2,JTHDU1EF3C5597496,Mustang,Ford,6/28/2018 15:16,1G6DM56T750207709,2001,16fcf3a1-ff63-4532-922f-366ea426fdc1,Goldenrod
JH4DC44511S105446,2,WAUAF48H57K982480,Ram 3500,Dodge,7/20/2016 10:38,WP0AA2A97AS340391,1992,53ced649-e0bf-49df-b3c1-661499ef71c2,Crimson
1N6AA0CC8FN166671,2,WVWED7AJ4DW941450,Swift,Suzuki,9/7/2020 16:44,1B3CB8HB8BD330493,1989,fab861ca-adff-4407-a60e-2e9785368e69,Blue
1FTKR1AD2AP573896,3,3C4PDCGBXFT632866,S-Class,Mercedes-Benz,3/31/2021 18:57,1G6D25EDXB0602950,2004,b0e2b308-9ded-43f2-a8aa-f3357a3b8056,Purple
2B3CL5CT4BH232396,3,JM3KE2BE1F0066068,Grand Marquis,Mercury,2/12/2018 20:16,SAJWA4EB4EL446541,2008,c8c865d4-865e-4599-a64b-41a49a7fa41a,Pink
WAULC68E82A167451,1,WAUDL54F45N004709,Cirrus,Chrysler,1/5/2016 13:18,1G6DM1ED2B0017122,2008,a38c6d84-7afd-4c3a-a967-ecb5e365898f,Red
SCFAB02A76G118083,1,1J4NF1GB6AD001465,Solara,Toyota,11/12/2018 15:07,3C6TD5GT4CG392535,1993,286659ca-7054-4e14-857f-aa522ba550eb,Mauv
WAUUL78E96A541016,1,3G5DB03E14S494622,Civic Si,Honda,9/20/2021 5:02,WAUKF78E88A481523,2011,318cc471-1286-4ce6-a62e-038bf98e8686,Purple
WAUVT54B73N493685,3,KMHFG4JG0DA139923,Ram 3500,Dodge,7/13/2019 13:47,5GAKVCKD5EJ640073,1987,beb7db46-1019-4404-a629-f7173eaf559b,Teal
1FTEX1CV3AF887815,2,WAUBNAFB7AN815032,Arnage,Bentley,9/14/2021 2:09,WBADX7C5XBE049528,1999,918dfeea-6c2d-4b97-a606-83d0c92e23ca,Crimson
1FTEX1E8XAK284424,3,1G6KE57Y82U475607,Borrego,Kia,7/21/2015 20:08,WAULD54B54N123518,2000,94b61661-cde5-4bf9-a30a-92950e54e4ee,Red
1FTSS3EL3AD123239,2,WAU2GAFC8DN999615,Grand Cherokee,Jeep,12/16/2020 21:59,4USBU53577L740309,2011,59ee9a0a-0e23-42f5-9907-85b38a2cd705,Violet
2C3CCASG9DH209523,2,1C3CDFAA2FD683319,940,Volvo,5/2/2019 19:28,KM8JT3AF4FU050929,2011,4a2dfd9d-f2c1-4510-8dd9-df306a20e957,Puce
WBAUP73589V554459,1,WAUWFAFH4AN726666,Metro,Geo,6/30/2016 5:04,2HNYD18285H754036,2000,cdeb11d7-e4e3-4cc0-b863-07830cd00bd4,Green
JTDKN3DP5F3105899,3,WAUVF98K79A954859,Tempo,Ford,8/17/2016 23:22,SCBLC43F25C072936,2009,bd7fba95-6dd9-4288-b402-67625d9f3442,Turquoise
SCFFDABM0DG719431,2,WAURFAFRXDA555410,Express 2500,Chevrolet,6/2/2021 11:34,YV1382MS1A2578668,2007,1e5e09cc-955a-4ef9-a241-f38e565c04dd,Aquamarine
1G4CW54K834169759,3,5J8TB3H36GL717357,Ion,Saturn,7/12/2016 5:24,WAUFFAFL2AN358220,1998,52da7aac-4c28-476a-81c4-ac067a20098b,Khaki
WAUBFAFL9BN703114,1,WBAFU9C57DD788197,Ram Van 1500,Dodge,4/18/2018 16:19,WAUDFAFC6FN731189,1993,d58ec00f-09e0-47ad-b711-b6896b6987df,Maroon
2T1BURHE4FC305419,3,WBAFU7C54BD980923,Suburban 2500,Chevrolet,3/19/2017 20:16,WAUCD54B74N643476,2012,5313c03b-8a63-4fd2-a8bb-a4f2e718c254,Khaki
1G6DN56S450570585,2,WAUKF78E07A987524,S80,Volvo,10/8/2021 15:21,2C3CCAFJ1DH018118,2006,af286f49-b697-4424-84fe-99a120031082,Aquamarine
KNADH4A34A6159254,1,SCBBR93W97C948671,323,Mazda,10/23/2021 23:31,5FPYK1F20CB732041,1991,a0afbaa7-4009-435c-8927-5cd1272ea694,Khaki
1N6AF0LX8FN044381,2,WDDGF4HB4DR099343,Pacifica,Chrysler,4/15/2018 8:33,KNAFX6A89E5022664,2001,99cf5c01-abc8-43df-a490-1656dbb70c5a,Yellow
JA32X2HU0DU803315,1,SALGS2EF2EA924953,Classic,Rambler,4/23/2019 4:00,WAUAH78E06A314799,2010,15041d9f-527b-416f-941b-3d7f65b05dbc,Red
JN8AF5MR8CT185110,1,3C4PDDEG0CT731700,Shadow,Dodge,8/25/2017 5:53,WBAKF5C57DE985754,2003,b7d86a32-348d-44e7-9b7c-f8b5b06f9865,Red
VNKJTUD35FA612471,3,JTEBU5JR7F5427867,Escalade EXT,Cadillac,11/2/2019 5:05,3D4PG3FG2BT038791,2001,8a934a9c-1cd5-4adb-817a-5f372832e71d,Fuscia
